,layer,src,dst,interval,flit,counts,datatype,delay,map_src,map_dst,captain,tree,epfl,intermediate,path,count,id,issue_time
1,unet_layer1,[8],[57],2304,17,64,output,2304.0,[8],[57],,[],,[207],[],1,1,2304.0
2,unet_layer1,[9],[57],2304,17,64,output,2304.0,[9],[57],,[],,[],[],1,2,2304.0
3,unet_layer1,[24],[57],2304,17,64,output,2304.0,[24],[57],,[],,[],[],1,3,2324.0
4,unet_layer1,[25],[57],2304,17,64,output,2304.0,[25],[57],,[],,[],[],1,4,2344.0
5,unet_layer1,[40],[57],2304,17,64,output,2304.0,[40],[57],,[],,[],[],1,5,2363.0
6,unet_layer1,[41],[57],2304,17,64,output,2304.0,[41],[57],,[],,[],[],1,6,2304.0
7,unet_layer1,[56],[57],2304,17,64,output,2304.0,[56],[57],,[],,[],[],1,7,2304.0
9,unet_layer1,[7],[8],2304,4,64,input,,[7],[8],,[],,[],[],1,9,2309.0
10,unet_layer1,[7],[9],2304,4,64,input,,[7],[9],,[],,[],[],1,10,2304.0
11,unet_layer1,[7],[24],2304,4,64,input,,[7],[24],,[],,[],[],1,11,2304.0
12,unet_layer1,[7],[25],2304,4,64,input,,[7],[25],,[],,[],[],1,12,2322.0
13,unet_layer1,[7],[40],2304,4,64,input,,[7],[40],,[],,[],[],1,13,2304.0
14,unet_layer1,[7],[41],2304,4,64,input,,[7],[41],,[],,[],[],1,14,2304.0
15,unet_layer1,[7],[56],2304,4,64,input,,[7],[56],,[],,[],[],1,15,2314.0
17,unet_layer1,[8],[7],2304,17,64,output,,[8],[7],,[],,[],[],1,17,2304.0
18,unet_layer1,[9],[7],2304,17,64,output,,[9],[7],,[],,[],[],1,18,2304.0
19,unet_layer1,[24],[7],2304,17,64,output,,[24],[7],,[],,[],[],1,19,2304.0
20,unet_layer1,[25],[7],2304,17,64,output,,[25],[7],,[],,[],[],1,20,2365.0
21,unet_layer1,[40],[7],2304,17,64,output,,[40],[7],,[],,[],[],1,21,2304.0
22,unet_layer1,[41],[7],2304,17,64,output,,[41],[7],,[],,[],[],1,22,2323.0
23,unet_layer1,[56],[7],2304,17,64,output,,[56],[7],,[],,[],[],1,23,2344.0
29,unet_layer2,[10],[59],6144,65,64,output,6144.0,[10],[59],,[],,[],[],1,29,6144.0
30,unet_layer2,[11],[59],6144,65,64,output,6144.0,[11],[59],,[],,[],[],1,30,6144.0
31,unet_layer2,[26],[59],6144,65,64,output,6144.0,[26],[59],,[],,[],[],1,31,6211.0
32,unet_layer2,[27],[59],6144,65,64,output,6144.0,[27],[59],,[],,[],[],1,32,6144.0
33,unet_layer2,[42],[59],6144,65,64,output,6144.0,[42],[59],,[],,[],[],1,33,6144.0
34,unet_layer2,[43],[59],6144,65,64,output,6144.0,[43],[59],,[],,[11],[],1,34,6144.0
35,unet_layer2,[57],[10],3072,34,128,input,,[57],[10],,[],,[],[],1,35,3142.0
36,unet_layer2,[57],[11],3072,34,128,input,,[57],[11],,[],,[],[],1,36,3107.0
37,unet_layer2,[57],[42],3072,34,128,input,,[57],[42],,[],,[],[],1,37,3072.0
38,unet_layer2,[57],[43],3072,34,128,input,,[57],[43],,[],,[233],[],1,38,3072.0
42,unet_layer3,[12],[31],192,3,1024,output,192.0,[12],[31],,[],,[],[],1,42,192.0
43,unet_layer3,[13],[31],192,3,1024,output,192.0,[13],[31],,[],,[],[],1,43,199.0
44,unet_layer3,[14],[31],192,3,1024,output,192.0,[14],[31],,[],,[],[],1,44,192.0
45,unet_layer3,[15],[31],192,3,1024,output,192.0,[15],[31],,[],,[162],[],1,45,192.0
46,unet_layer3,[28],[31],192,3,1024,output,192.0,[28],[31],,[],,[],[],1,46,192.0
47,unet_layer3,[29],[31],192,3,1024,output,192.0,[29],[31],,[],,[],[],1,47,192.0
48,unet_layer3,[59],[12],96,4,2048,input,,[59],[12],,[],,[43],[],1,48,96.0
49,unet_layer3,[59],[13],96,4,2048,input,,[59],[13],,[],,[26],[],1,49,96.0
50,unet_layer3,[59],[14],96,4,2048,input,,[59],[14],,[],,[237],[],1,50,96.0
51,unet_layer3,[59],[15],96,4,2048,input,,[59],[15],,[],,[],[],1,51,102.0
52,unet_layer3,[59],[28],96,4,2048,input,,[59],[28],,[],,[155],[],1,52,96.0
53,unet_layer3,[59],[29],96,4,2048,input,,[59],[29],,[],,[],[],1,53,96.0
60,unet_layer4,[44],[63],36864,33,16,output,36864.0,[44],[63],,[],,[],[],1,60,36864.0
61,unet_layer4,[45],[63],36864,33,16,output,36864.0,[45],[63],,[],,[158],[],1,61,36864.0
62,unet_layer4,[46],[63],36864,33,16,output,36864.0,[46],[63],,[],,[],[],1,62,36864.0
63,unet_layer4,[47],[63],36864,33,16,output,36864.0,[47],[63],,[],,[],[],1,63,36864.0
64,unet_layer4,[60],[63],36864,33,16,output,36864.0,[60],[63],,[],,[],[],1,64,36968.0
65,unet_layer4,[61],[63],36864,33,16,output,36864.0,[61],[63],,[],,[],[],1,65,36933.0
66,unet_layer4,[62],[63],36864,33,16,output,36864.0,[62],[63],,[],,[],[],1,66,36864.0
68,unet_layer4,[44],[31],36864,33,16,output,,[44],[31],,[],,[],[],1,68,36864.0
69,unet_layer4,[45],[31],36864,33,16,output,,[45],[31],,[],,[],[],1,69,36864.0
70,unet_layer4,[46],[31],36864,33,16,output,,[46],[31],,[],,[],[],1,70,36864.0
71,unet_layer4,[47],[31],36864,33,16,output,,[47],[31],,[],,[],[],1,71,36864.0
72,unet_layer4,[60],[31],36864,33,16,output,,[60],[31],,[],,[],[],1,72,36864.0
